model,requirement,hlj_id,tags_added,tags_dropped,num_tags_added,num_tags_dropped,total_tag_changes,top_reason
gpt41,req-015,REQ-015-HLJ-Chunk_1-Item_1-v1.0,"['notification', 'webhook']","['notifications', 'webhooks', '[INFERRED] compliance']",2,3,5,direct
meta70b,req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,"['upgrade', 'edge case']","['edge cases', 'upgrades', '[INFERRED] billing']",2,3,5,semantic
gpt41,req-027,REQ-027-HLJ-Chunk_1-Item_9-v1.0,"['audit', 'logs']","['logging', '[INFERRED] traceability', 'auditing']",2,3,5,direct
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_6-v1.0,['notification'],"['notifications', 'backend', 'messaging']",1,3,4,none
meta70b,req-010,REQ-010-HLJ-Chunk_1-Item_3-v1.0,['phantom balance'],"['logic development', 'phantom-balances', 'transaction-management']",1,3,4,none
gpt41,req-015,REQ-015-HLJ-Chunk_1-Item_3-v1.0,['webhook'],"['[INFERRED] usability', 'customization', 'webhooks']",1,3,4,none
gpt41,req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,['logs'],"['logging', '[INFERRED] maintainability', 'false-positive']",1,3,4,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_9-v1.0,['logs'],"['logging', 'ml', 'optimization']",1,3,4,none
meta70b,req-003,REQ-003-HLJ-Chunk_1-Item_2-v1.0,['alert'],"['alerting', '[INFERRED] notification', 'realtime']",1,3,4,none
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_3-v1.0,['config'],"['admin-portal', 'configuration', 'real-time']",1,3,4,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_10-v1.0,['alert'],"['alerts', 'performance', 'ratelimit']",1,3,4,none
opus4,req-022,REQ-022-HLJ-Chunk_1-Item_9-v1.0,"['notification', 'alert']","['notifications', 'alerts']",2,2,4,direct
meta70b,req-017,REQ-017-HLJ-Chunk_1-Item_4-v1.0,['notification'],"['notifications', 'user experience', '[INFERRED] alerts']",1,3,4,none
opus4,req-018,REQ-018-HLJ-Chunk_1-Item_8-v1.0,['lock'],"['concurrency', 'safety', 'locking']",1,3,4,none
