2025-07-11 01:01:03,180 [INFO] [1/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/run_manifest.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/run_manifest.json', 'status': 'no_candidates'}
2025-07-11 01:01:07,265 [INFO] [6/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-008/REQ-008-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-008/REQ-008-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:07,298 [INFO] [8/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-008/REQ-008-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-008/REQ-008-HLJ-Chunk_2-Item_8-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:08,352 [INFO] [10/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-008/REQ-008-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-008/REQ-008-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'success', 'silhouette': 0.0009524598717689514}
2025-07-11 01:01:08,893 [INFO] [13/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-030/REQ-030-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-030/REQ-030-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:08,921 [INFO] [14/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-030/REQ-030-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-030/REQ-030-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:09,306 [INFO] [15/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:09,981 [INFO] [17/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:10,003 [INFO] [18/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_8-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:10,028 [INFO] [20/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': 0.01415666937828064}
2025-07-11 01:01:12,338 [INFO] [28/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-006/REQ-006-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
