tag,hlj_id,requirement_id,model,version,confidence,context,validation_status,inferred,flagged,reason_for_flagged,token_length,rescue_score,rescue_notes,filtered,filter_reason
reconciliation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.030,,Y,suspicious_and_no_semantic_match:0.030
configurability,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.143,,Y,suspicious_and_no_semantic_match:0.143
edge-case,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,0.93,,none,no,yes,"no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
validation,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.188,,Y,suspicious_and_no_semantic_match:0.188
anomaly-detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.090,,Y,suspicious_and_no_semantic_match:0.090
transparency,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.046,,Y,suspicious_and_no_semantic_match:0.046
user-interface,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.161,,Y,suspicious_and_no_semantic_match:0.161
user-trust,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.116,,Y,suspicious_and_no_semantic_match:0.116
logs,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v2,,,,no,yes,"low_confidence, no_context, unvalidated",1,0.113,,Y,suspicious_and_no_semantic_match:0.113
edge-case,REQ-008-HLJ-Chunk_2-Item_4-v1.0,req-008,gpt41,tags_v1,0.94,,none,no,yes,"no_context, unvalidated",1,0.060,,Y,suspicious_and_no_semantic_match:0.060
error-handling,REQ-008-HLJ-Chunk_2-Item_4-v1.0,req-008,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,0.079,,Y,suspicious_and_no_semantic_match:0.079
resilience,REQ-008-HLJ-Chunk_2-Item_4-v1.0,req-008,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,-0.006,,Y,suspicious_and_no_semantic_match:-0.006
critical-path,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v1,0.9,,none,no,yes,"no_context, unvalidated",1,0.071,,Y,suspicious_and_no_semantic_match:0.071
artifact-retention,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,0.85,,none,yes,yes,"no_context, unvalidated",1,0.074,,Y,suspicious_and_no_semantic_match:0.074
customization,REQ-006-HLJ-Chunk_1-Item_1-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.063,,Y,suspicious_and_no_semantic_match:0.063
resilience,REQ-006-HLJ-Chunk_1-Item_2-v1.0,req-006,gpt41,tags_v1,,,none,yes,yes,"low_confidence, no_context, unvalidated",1,0.050,,Y,suspicious_and_no_semantic_match:0.050
usability,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,gpt41,tags_v1,0.87,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
usability,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v1,0.89,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
usability,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v1,0.91,,none,no,yes,"no_context, unvalidated",1,-0.021,,Y,suspicious_and_no_semantic_match:-0.021
