canonical_tag,alias,method,similarity,cluster_id,version
integration,integrations,cluster+sbert,0.915,all_0,v3
integration,integration,self,1.000,all_0,v3
gig-economy,gig-economy,self,1.000,all_1,v3
data-verification,data-verification,self,1.000,all_2,v3
aggregation,aggregation,self,1.000,all_3,v3
normalization,data-normalization,cluster+sbert,0.887,all_4,v3
normalization,normalization,self,1.000,all_4,v3
eligibility,eligibility rules,cluster+sbert,0.865,all_5,v3
eligibility,eligibility,self,1.000,all_5,v3
risk,risk,self,1.000,all_6,v3
rules-engine,rules-engine,self,1.000,all_7,v3
admin,admin,self,1.000,all_8,v3
rule-management,rule-management,self,1.000,all_9,v3
kyc,kyc,self,1.000,all_10,v3
aml,aml,self,1.000,all_11,v3
compliance,compliancereporting,cluster+sbert,0.858,all_12,v3
compliance,compliance monitoring,cluster,0.812,all_12,v3
compliance,compliance,self,1.000,all_12,v3
fraud,fraud,self,1.000,all_13,v3
detection,detection,self,1.000,all_14,v3
consent,consent,self,1.000,all_15,v3
user_experience,user-experience,cluster,0.817,all_16,v3
user_experience,user experience,cluster,0.793,all_16,v3
user_experience,user_experience,self,1.000,all_16,v3
dispute,dispute,self,1.000,all_17,v3
privacy,privacy laws,cluster+sbert,0.836,all_18,v3
privacy,privacy,self,1.000,all_18,v3
regulation,regulatory,cluster+sbert,0.854,all_19,v3
regulation,regulation,self,1.000,all_19,v3
encryption,encryption,self,1.000,all_20,v3
rbac,rbac,self,1.000,all_21,v3
dashboard,dashboards,cluster+sbert,0.926,all_22,v3
dashboard,dashboard,self,1.000,all_22,v3
monitoring,monitoring,self,1.000,all_23,v3
logging,logs,cluster+sbert,0.886,all_24,v3
logging,logging,self,1.000,all_24,v3
audit,auditability,cluster,0.806,all_25,v3
audit,audit,self,1.000,all_25,v3
ui_testing,ui-testing,cluster+sbert,0.840,all_26,v3
ui_testing,ui_testing,self,1.000,all_26,v3
parallel,parallel,self,1.000,all_27,v3
staging,staging,self,1.000,all_28,v3
ci/cd,ci-cd,cluster+sbert,0.927,all_29,v3
ci/cd,ci_cd,cluster+sbert,0.853,all_29,v3
ci/cd,ci/cd,self,1.000,all_29,v3
blocking,blocking,self,1.000,all_30,v3
coverage,coverage,self,1.000,all_31,v3
analytics,analytics,self,1.000,all_32,v3
visualization,visualization,self,1.000,all_33,v3
screenshots,screenshots,self,1.000,all_34,v3
video,video,self,1.000,all_35,v3
flakiness,flakiness,self,1.000,all_36,v3
recommendations,recommendations,self,1.000,all_37,v3
headless,headless,self,1.000,all_38,v3
quarantine,quarantine,self,1.000,all_39,v3
documentation,documentation,self,1.000,all_40,v3
testing-guides,testing-guides,self,1.000,all_41,v3
browser-matrix,browser-matrix,self,1.000,all_42,v3
communication,communication,self,1.000,all_43,v3
security,security,self,1.000,all_44,v3
artifacts,artifacts,self,1.000,all_45,v3
accessibility,accessibility,self,1.000,all_46,v3
rate-limiting,rate_limiting,cluster+sbert,0.910,all_47,v3
rate-limiting,rate-limit,cluster+sbert,0.939,all_47,v3
rate-limiting,rate limiting,cluster+sbert,0.984,all_47,v3
rate-limiting,rate limit,cluster+sbert,0.930,all_47,v3
rate-limiting,rate limit policies,cluster+sbert,0.831,all_47,v3
rate-limiting,rate-limiting,self,1.000,all_47,v3
configuration,config,cluster+sbert,0.884,all_48,v3
configuration,configuration,self,1.000,all_48,v3
real-time,real-time,self,1.000,all_49,v3
enforcement,enforcement,self,1.000,all_50,v3
feedback,feedback,self,1.000,all_51,v3
api,apis,cluster+sbert,0.916,all_52,v3
api,api,self,1.000,all_52,v3
alert,alerting,cluster+sbert,0.917,all_53,v3
alert,alerts,cluster+sbert,0.901,all_53,v3
alert,alert,self,1.000,all_53,v3
self-service,self-service,self,1.000,all_54,v3
reporting,reporting,self,1.000,all_55,v3
support,support,self,1.000,all_56,v3
availability,availability,self,1.000,all_57,v3
fallback,fallback,self,1.000,all_58,v3
rollback,rollout,cluster,0.817,all_59,v3
rollback,rollouts,cluster,0.780,all_59,v3
rollback,rollback,self,1.000,all_59,v3
testing,testing,self,1.000,all_60,v3
developer-experience,developer-experience,self,1.000,all_61,v3
migration,migration,self,1.000,all_62,v3
compatibility,compatibility,self,1.000,all_63,v3
legacy,legacy,self,1.000,all_64,v3
performance,performance,self,1.000,all_65,v3
latency,latency,self,1.000,all_66,v3
legal,legal,self,1.000,all_67,v3
rest,restful,cluster,0.824,all_68,v3
rest,rest,self,1.000,all_68,v3
spec,spec,self,1.000,all_69,v3
filter,filtering,cluster+sbert,0.912,all_70,v3
filter,filters,cluster+sbert,0.911,all_70,v3
filter,filter,self,1.000,all_70,v3
pagination,pagination,self,1.000,all_71,v3
openapi,openapi,self,1.000,all_72,v3
deduplication,deduplication,self,1.000,all_73,v3
schema,schema,self,1.000,all_74,v3
data,data,self,1.000,all_75,v3
timezone,timezone,self,1.000,all_76,v3
metadata,metadata,self,1.000,all_77,v3
oauth,oauth,self,1.000,all_78,v3
authentication,authentication,self,1.000,all_79,v3
error,error,self,1.000,all_80,v3
screening,screening,self,1.000,all_81,v3
onboarding,onboarding,self,1.000,all_82,v3
notification,notifications,cluster+sbert,0.915,all_83,v3
notification,user-notification,cluster+sbert,0.860,all_83,v3
notification,notification,self,1.000,all_83,v3
traceability,traceability,self,1.000,all_84,v3
immutability,immutable,cluster+sbert,0.931,all_85,v3
immutability,immutability,self,1.000,all_85,v3
scheduled payments,scheduled payments,self,1.000,all_86,v3
ui,ui,self,1.000,all_87,v3
fx,fx,self,1.000,all_88,v3
lock,locking,cluster+sbert,0.921,all_89,v3
lock,lock,self,1.000,all_89,v3
countdown,countdown,self,1.000,all_90,v3
validation,validation,self,1.000,all_91,v3
