tag,hlj_id,requirement_id,model,version,cluster_id
integration,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,tags_v1_0
gig-economy,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,tags_v1_1
data-verification,REQ-008-HLJ-Chunk_1-Item_1-v1.0,req-008,gpt41,tags_v1,tags_v1_2
aggregation,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,tags_v1_3
data-normalization,REQ-008-HLJ-Chunk_1-Item_2-v1.0,req-008,gpt41,tags_v1,tags_v1_4
eligibility,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,tags_v1_5
risk,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,tags_v1_6
rules-engine,REQ-008-HLJ-Chunk_1-Item_3-v1.0,req-008,gpt41,tags_v1,tags_v1_7
admin,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,tags_v1_8
rule-management,REQ-008-HLJ-Chunk_1-Item_4-v1.0,req-008,gpt41,tags_v1,tags_v1_9
eligibility,REQ-008-HLJ-Chunk_1-Item_5-v1.0,req-008,gpt41,tags_v1,tags_v1_5
kyc,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,tags_v1_10
aml,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,tags_v1_11
compliance,REQ-008-HLJ-Chunk_1-Item_6-v1.0,req-008,gpt41,tags_v1,tags_v1_12
fraud,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,tags_v1_13
detection,REQ-008-HLJ-Chunk_1-Item_7-v1.0,req-008,gpt41,tags_v1,tags_v1_14
consent,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,tags_v1_15
user-experience,REQ-008-HLJ-Chunk_1-Item_8-v1.0,req-008,gpt41,tags_v1,tags_v1_16
dispute,REQ-008-HLJ-Chunk_1-Item_9-v1.0,req-008,gpt41,tags_v1,tags_v1_17
compliance,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,tags_v1_12
privacy,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,tags_v1_18
regulation,REQ-008-HLJ-Chunk_1-Item_10-v1.0,req-008,gpt41,tags_v1,tags_v1_19
encryption,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,tags_v1_20
rbac,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,tags_v1_21
compliance,REQ-008-HLJ-Chunk_2-Item_1-v1.0,req-008,gpt41,tags_v1,tags_v1_12
dashboard,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,tags_v1_22
monitoring,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,tags_v1_23
compliance,REQ-008-HLJ-Chunk_2-Item_2-v1.0,req-008,gpt41,tags_v1,tags_v1_12
logging,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v1,tags_v1_24
audit,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v1,tags_v1_25
compliance,REQ-008-HLJ-Chunk_2-Item_3-v1.0,req-008,gpt41,tags_v1,tags_v1_12
ui-testing,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v1,tags_v1_26
parallel,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v1,tags_v1_27
staging,REQ-030-HLJ-Chunk_1-Item_1-v1.0,req-030,gpt41,tags_v1,tags_v1_28
ci-cd,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v1,tags_v1_29
blocking,REQ-030-HLJ-Chunk_1-Item_2-v1.0,req-030,gpt41,tags_v1,tags_v1_30
coverage,REQ-030-HLJ-Chunk_1-Item_3-v1.0,req-030,gpt41,tags_v1,tags_v1_31
analytics,REQ-030-HLJ-Chunk_1-Item_3-v1.0,req-030,gpt41,tags_v1,tags_v1_32
