req_id,hlj_id,present_models,missing_models,num_gpt41,num_opus4,num_meta70b,union_count,intersection_count,majority_count,agreement_score,disagreement_score,entropy,stable_tags,majority_tags,unique_gpt41,unique_opus4,unique_meta70b,opus4_precision,opus4_recall,opus4_f1,meta70b_precision,meta70b_recall,meta70b_f1
req-001,req-001-hlj-chunk_1-item_1-v1.0,gpt41|opus4|meta70b,,3,3,3,6,1,2,0.16666666666666666,0.8333333333333334,0.7652465283787414,api,api|rest,spec,endpoint,[inferred] compliance|openbanking,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
req-001,req-001-hlj-chunk_1-item_10-v1.0,gpt41|opus4,meta70b,4,3,0,7,0,0,0.0,1.0,1.0,,,[inferred] compliance|documentation|integration|support,api|availability|resilience,,0.0,0.0,0,,,
req-001,req-001-hlj-chunk_1-item_2-v1.0,gpt41|opus4|meta70b,,3,3,3,5,1,3,0.2,0.8,0.7346366672435917,api,api|filtering|pagination,,performance,[inferred] performance,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
req-001,req-001-hlj-chunk_1-item_3-v1.0,gpt41|opus4,meta70b,3,3,0,6,0,0,0.0,1.0,1.0,,,compliance|openapi|spec,api|filtering|query,,0.0,0.0,0,,,
req-001,req-001-hlj-chunk_1-item_4-v1.0,gpt41|opus4,meta70b,3,3,0,6,0,0,0.0,1.0,1.0,,,data|deduplication|schema,api|openapi|standards,,0.0,0.0,0,,,
req-001,req-001-hlj-chunk_1-item_5-v1.0,gpt41|opus4,meta70b,3,3,0,5,1,1,0.2,0.8,0.8,data,data,metadata|timezone,consistency|deduplication,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,
req-001,req-001-hlj-chunk_1-item_6-v1.0,gpt41|opus4,meta70b,3,3,0,6,0,0,0.0,1.0,1.0,,,authentication|oauth|security,data|normalization|timestamp,,0.0,0.0,0,,,
req-001,req-001-hlj-chunk_1-item_7-v1.0,gpt41|opus4,meta70b,3,3,0,6,0,0,0.0,1.0,1.0,,,audit|compliance|logging,authentication|oauth|security,,0.0,0.0,0,,,
req-001,req-001-hlj-chunk_1-item_8-v1.0,gpt41|opus4,meta70b,3,3,0,5,1,1,0.2,0.8,0.8,logging,logging,availability|error,compliance|security,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,
req-001,req-001-hlj-chunk_1-item_9-v1.0,gpt41|opus4,meta70b,4,3,0,7,0,0,0.0,1.0,1.0,,,[inferred] compliance|latency|performance|scalability,data|edge-cases|normalization,,0.0,0.0,0,,,
req-001,req-001-hlj-chunk_2-item_1-v1.0,opus4|meta70b,gpt41,0,3,3,6,0,0,0.0,1.0,1.0,,,,api|optimization|performance,[inferred] compliance|oauth|security,,,,,,
req-001,req-001-hlj-chunk_2-item_2-v1.0,opus4|meta70b,gpt41,0,3,3,6,0,0,0.0,1.0,1.0,,,,api|documentation|support,[inferred] security|audit|logging,,,,,,
req-001,req-001-hlj-chunk_2-item_3-v1.0,opus4,gpt41|meta70b,0,3,0,3,3,0,1.0,0.0,0.0,api|integration|partners,,,api|integration|partners,,,,,,,
req-001,req-001-hlj-chunk_2-item_4-v1.0,opus4,gpt41|meta70b,0,3,0,3,3,0,1.0,0.0,0.0,caching|data|performance,,,caching|data|performance,,,,,,,
req-001,req-001-hlj-chunk_2-item_5-v1.0,opus4,gpt41|meta70b,0,4,0,4,4,0,1.0,0.0,0.0,[inferred] security|compliance|deployment|review,,,[inferred] security|compliance|deployment|review,,,,,,,
req-002,req-002-hlj-chunk_1-item_1-v1.0,gpt41|opus4|meta70b,,2,3,3,6,0,2,0.0,1.0,0.9182958340544897,,compliance|onboarding,usability,ux|workflow,minor,0.0,0.0,0,0.3333333333333333,0.5,0.4
